batch_size,PyTorch(FW),DS(FW),TK(FW)
1,2.988032102584839,1.1929600238800049,1.2288000583648682
2,5.9607038497924805,2.3562240600585938,1.5134719610214233
3,8.926207542419434,3.5430400371551514,2.239487886428833
4,11.880448341369629,4.700160026550293,2.9972479343414307
5,14.833663940429688,5.850111961364746,3.7355520725250244
6,17.80531120300293,7.0103678703308105,4.494336128234863
7,20.745216369628906,8.19916820526123,5.2705278396606445
8,23.70252799987793,9.351167678833008,5.97708797454834
9,26.75916862487793,10.520575523376465,6.701056003570557
10,29.69808006286621,11.711487770080566,7.521279811859131
11,32.63283157348633,12.898303985595703,8.365056037902832
12,35.62905502319336,14.08614444732666,9.043968200683594
13,38.593536376953125,15.210495948791504,9.788415908813477
14,44.21324920654297,18.147327423095703,10.604543685913086
15,47.373374938964844,19.574783325195312,11.208703994750977
16,47.477760314941406,20.8721923828125,12.16921615600586
